HomeELO,AwayELO,ELO_diff,HomeAvgGD,AwayAvgGD,AvgGDDiff,HomeFormPts,AwayFormPts,FormDiff,HomeWinRate,AwayWinRate,WinRateDiff,HomeRestDays,AwayRestDays,RestDiff,H2H_home_win_rate
1489.4580889111862,1489.991738425114,-0.5336495139276849,-0.3333333333333333,-0.3333333333333333,0.0,1.0,0.6666666666666666,0.33333333333333337,0.3333333333333333,0.0,0.3333333333333333,11.0,11.0,0.0,0.0
1510.2960119074467,1510.56721209952,-0.27120019207336554,0.0,0.3333333333333333,-0.3333333333333333,2.0,2.0,0.0,0.6666666666666666,0.6666666666666666,0.0,11.0,11.0,0.0,0.0
1490.0248097001115,1500.0,-9.975190299888482,-0.3333333333333333,0.3333333333333333,-0.6666666666666666,0.6666666666666666,1.3333333333333333,-0.6666666666666666,0.0,0.3333333333333333,-0.3333333333333333,11.0,11.0,0.0,0.0
1499.1455066137207,1499.9834498601524,-0.8379432464316778,-0.3333333333333333,0.0,-0.3333333333333333,1.3333333333333333,1.0,0.33333333333333326,0.3333333333333333,0.0,0.3333333333333333,11.0,10.0,1.0,0.0
1509.4493258791604,1500.8296790276333,8.619646851527023,0.3333333333333333,-0.3333333333333333,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.3333333333333335,0.3333333333333333,0.3333333333333333,0.0,11.0,11.0,0.0,0.0
1491.0609783083194,1510.2225253589884,-19.161547050669014,-1.25,0.75,-2.0,1.0,1.75,-0.75,0.25,0.5,-0.25,4.0,3.0,1.0,0.0
1500.3038176748548,1509.1548635784757,-8.851045903620843,-0.5,0.6666666666666666,-1.1666666666666665,1.5,2.0,-0.5,0.5,0.6666666666666666,-0.16666666666666663,3.0,4.0,-1.0,0.0
1491.0777215187418,1489.9593319615649,1.1183895571768971,-0.5,-0.6666666666666666,0.16666666666666663,1.0,0.6666666666666666,0.33333333333333337,0.25,0.0,0.25,3.0,3.0,0.0,0.0
1519.201283388052,1489.976378769497,29.224904618555,0.5,-0.25,0.75,2.0,0.75,1.25,0.5,0.0,0.5,3.0,3.0,0.0,0.0
1509.1696245123082,1501.411879475243,7.757745037065206,0.25,-0.5,0.75,1.75,1.5,0.25,0.5,0.5,0.0,3.0,4.0,-1.0,0.0
1518.3652753684191,1488.9387827288313,29.426492639587877,2.0,-0.5,2.5,2.0,1.0,1.0,0.5,0.25,0.25,4.0,4.0,0.0,0.0
1499.712969807482,1490.2468600140094,9.466109793472697,0.25,0.0,0.25,1.25,1.0,0.25,0.25,0.25,0.0,3.0,4.0,-1.0,0.0
1520.5594063321118,1499.7609245918277,20.79848174028416,0.75,0.0,0.75,2.25,1.25,1.0,0.75,0.25,0.5,3.0,3.0,0.0,0.0
1490.3118398926295,1489.4734485668032,0.838391325826251,-0.25,-0.25,0.0,0.75,1.0,-0.25,0.0,0.25,-0.25,4.0,4.0,0.0,0.0
1509.7361294642044,1481.3559586876365,28.380170776567866,0.25,-0.75,1.0,1.75,0.5,1.25,0.5,0.0,0.5,6.0,6.0,0.0,0.0
1489.4975793620774,1518.9210944251145,-29.42351506303703,-0.2,0.4,-0.6000000000000001,1.0,2.0,-1.0,0.2,0.6,-0.39999999999999997,6.0,5.0,1.0,0.0
1499.9915216894146,1491.6119334705231,8.379588218891513,-0.25,-1.0,0.75,1.25,1.0,0.25,0.25,0.2,0.04999999999999999,7.0,7.0,0.0,0.0
1480.815560860832,1519.961491957051,-39.1459310962191,-0.4,0.6,-1.0,0.6,2.0,-1.4,0.0,0.6,-0.6,7.0,7.0,0.0,0.0
1509.6715701967846,1500.5585161574265,9.113054039358076,0.6,-0.4,1.0,1.6,1.4,0.20000000000000018,0.4,0.4,0.0,7.0,7.0,0.0,0.0
1508.900165095904,1481.045531790892,27.85463330501193,0.5,-0.6,1.1,1.75,0.8,0.95,0.5,0.2,0.3,7.0,7.0,0.0,0.0
1479.7837258482418,1490.2877090973552,-10.50398324911339,-1.0,-0.2,-0.8,0.8,0.8,0.0,0.2,0.0,0.2,7.0,6.0,1.0,0.0
1500.5192491580988,1527.5203322490086,-27.001083090909788,0.2,2.2,-2.0,1.4,2.2,-0.8000000000000003,0.4,0.6,-0.19999999999999996,7.0,7.0,0.0,0.0
1500.3588389668885,1528.362101296717,-28.00326232982843,0.0,0.6,-0.6,1.2,2.2,-1.0000000000000002,0.2,0.6,-0.39999999999999997,8.0,8.0,0.0,0.0
1491.6351282260553,1489.4405806633927,2.194547562662592,-0.6,0.0,-0.6,1.2,1.0,0.19999999999999996,0.4,0.2,0.2,8.0,8.0,0.0,0.0
1472.1709937267265,1518.946375761496,-46.775382034769564,-0.8,0.4,-1.2000000000000002,0.4,2.0,-1.6,0.0,0.6,-0.6,6.0,8.0,-2.0,0.0
1517.6081475700146,1490.085962710127,27.522184859887602,0.2,-1.0,1.2,1.6,0.8,0.8,0.5,0.3333333333333333,0.16666666666666669,6.0,7.0,-1.0,0.0
1481.853070652563,1491.9375276400142,-10.084456987451176,-1.2,0.0,-1.2,1.0,1.0,0.0,0.16666666666666666,0.16666666666666666,0.0,7.0,7.0,0.0,0.0
1490.8207508020892,1473.509221918208,17.311528883881238,-0.2,-0.4,0.2,1.4,0.6,0.7999999999999999,0.3333333333333333,0.0,0.3333333333333333,7.0,6.0,1.0,0.0
1479.98547223547,1498.1001576018148,-18.114685366344702,-0.4,0.2,-0.6000000000000001,0.6,1.4,-0.7999999999999999,0.0,0.4,-0.4,7.0,7.0,0.0,0.0
1536.7447394215199,1491.163096823477,45.58164259804289,2.2,-0.8,3.0,2.2,0.6,1.6,0.6666666666666666,0.16666666666666666,0.5,7.0,6.0,1.0,0.0
1489.5037439796795,1509.7503845073747,-20.246640527695263,-0.4,0.2,-0.6000000000000001,0.6,1.6,-1.0,0.16666666666666666,0.4,-0.23333333333333336,6.0,7.0,-1.0,0.0
1508.8395251778688,1500.3424373917321,8.497087786136717,0.6,-0.8,1.4,2.0,1.0,1.0,0.5,0.3333333333333333,0.16666666666666669,7.0,7.0,0.0,0.0
1508.0762363954598,1491.5719649097684,16.504271485691334,-0.2,0.2,-0.4,1.4,1.4,0.0,0.5,0.3333333333333333,0.16666666666666669,7.0,6.0,1.0,0.0
1491.8455392849812,1519.409335552122,-27.563796267140788,0.0,1.0,-1.0,1.4,2.2,-0.8000000000000003,0.3333333333333333,0.5,-0.16666666666666669,7.0,7.0,0.0,0.0
1537.5578434401284,1491.2948419855875,46.26300145454093,1.0,0.2,0.8,2.6,1.4,1.2000000000000002,0.6666666666666666,0.3333333333333333,0.3333333333333333,7.0,8.0,-1.0,0.0
1509.1682981060994,1480.5063828630161,28.661915243083286,0.2,-0.2,0.4,1.6,0.8,0.8,0.3333333333333333,0.0,0.3333333333333333,7.0,7.0,0.0,0.0
1497.5792469742687,1507.601562264368,-10.022315290099414,-0.2,-0.2,0.0,1.0,1.4,-0.3999999999999999,0.3333333333333333,0.42857142857142855,-0.09523809523809523,7.0,7.0,0.0,0.0
1492.6185839363318,1492.6372288362918,-0.018644899960008843,-0.4,0.0,-0.4,1.0,1.4,-0.3999999999999999,0.2857142857142857,0.2857142857142857,0.0,6.0,7.0,-1.0,0.0
1484.0070758352786,1472.1432431736787,11.863832661599872,0.4,-1.8,2.2,1.2,0.4,0.7999999999999999,0.14285714285714285,0.14285714285714285,0.0,7.0,7.0,0.0,0.0
1492.04663904086,1498.595008080605,-6.548369039745012,-0.2,0.2,-0.4,1.0,1.4,-0.3999999999999999,0.2857142857142857,0.42857142857142855,-0.14285714285714285,7.0,7.0,0.0,0.0
1501.6473551188985,1490.0858303809548,11.561524737943728,0.4,-0.4,0.8,1.6,0.6,1.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,7.0,7.0,0.0,0.0
1510.5869544889958,1480.3228968850185,30.264057603977335,0.0,-1.0,1.0,1.6,0.8,0.8,0.42857142857142855,0.2857142857142857,0.14285714285714285,7.0,7.0,0.0,0.0
1518.6176460008114,1535.4402698899066,-16.822623889095212,0.6,2.2,-1.6,1.8,2.2,-0.40000000000000013,0.42857142857142855,0.5714285714285714,-0.14285714285714285,8.0,8.0,0.0,0.0
1492.4675663550902,1516.8176481958783,-24.350081840788107,-0.4,0.6,-1.0,0.8,1.8,-1.0,0.14285714285714285,0.42857142857142855,-0.2857142857142857,8.0,8.0,0.0,0.0
1490.8764620842633,1536.234101489384,-45.357639405120835,-0.6,0.8,-1.4,1.0,2.2,-1.2000000000000002,0.2857142857142857,0.5714285714285714,-0.2857142857142857,8.0,7.0,1.0,0.0
1502.6366921929334,1483.6657399388264,18.970952254107033,0.4,0.4,0.0,1.4,1.2,0.19999999999999996,0.375,0.125,0.25,14.0,14.0,0.0,0.0
1529.1014620049789,1518.345208211887,10.7562537930919,0.4,0.8,-0.4,1.8,2.0,-0.19999999999999996,0.5,0.42857142857142855,0.07142857142857145,13.0,14.0,-1.0,0.0
1482.6191205796902,1491.3147104621712,-8.695589882481045,-1.0,0.0,-1.0,0.8,1.4,-0.5999999999999999,0.25,0.25,0.0,14.0,14.0,0.0,0.0
1481.191770034016,1497.3131768283456,-16.121406794329687,-1.2,0.0,-1.2,0.4,1.4,-0.9999999999999999,0.25,0.375,-0.125,14.0,14.0,0.0,0.0
1507.8676324102912,1509.7180813399984,-1.8504489297072269,-0.2,0.4,-0.6000000000000001,1.0,1.8,-0.8,0.42857142857142855,0.375,0.05357142857142855,14.0,14.0,0.0,0.0
1482.2350939377093,1472.4845790701308,9.750514867578431,-0.2,-1.8,1.6,1.0,0.4,0.6,0.25,0.125,0.125,14.0,14.0,0.0,0.0
1492.174593463932,1503.1672727867533,-10.992679322821232,-0.4,0.2,-0.6000000000000001,1.2,1.2,0.0,0.25,0.25,0.0,13.0,13.0,0.0,0.0
1534.9359701097153,1524.9564538857392,9.979516223976134,0.8,2.0,-1.2,2.2,2.0,0.20000000000000018,0.5,0.5,0.0,13.0,13.0,0.0,0.0
1471.3294727572286,1506.1179417642152,-34.78846900698659,-0.8,0.0,-0.8,0.6,1.6,-1.0,0.0,0.375,-0.375,15.0,14.0,1.0,0.0
1500.4184750376821,1508.406553183756,-7.9880781460738035,0.2,0.0,0.2,1.2,1.4,-0.19999999999999996,0.25,0.5,-0.25,16.0,16.0,0.0,0.0
1462.7651477925103,1502.0912063025924,-39.32605851008202,-1.0,0.6,-1.6,0.4,1.6,-1.2000000000000002,0.1111111111111111,0.3333333333333333,-0.2222222222222222,7.0,7.0,0.0,0.0
1499.6648216420833,1490.6483499050923,9.01647173699098,0.0,-0.2,0.2,1.6,1.0,0.6000000000000001,0.3333333333333333,0.2222222222222222,0.1111111111111111,7.0,5.0,2.0,0.0
1515.1199820482445,1524.6488155097172,-9.528833461472686,0.4,0.0,0.4,1.6,1.6,0.0,0.4444444444444444,0.4444444444444444,0.0,6.0,7.0,-1.0,0.0
1492.8509835765572,1491.655448691939,1.195534884618155,0.0,-0.6,0.6,1.0,1.0,0.0,0.2222222222222222,0.3333333333333333,-0.1111111111111111,7.0,7.0,0.0,0.0
1486.8494981704225,1462.3274324731992,24.522065697223297,-0.4,-1.6,1.2000000000000002,0.8,0.4,0.4,0.3333333333333333,0.0,0.3333333333333333,7.0,6.0,1.0,0.0
1518.1766783163457,1482.8693475302325,35.3073307861132,0.0,-0.8,0.8,1.4,1.0,0.3999999999999999,0.5555555555555556,0.2222222222222222,0.33333333333333337,5.0,7.0,-2.0,0.0
1535.2436084857372,1517.9208921082063,17.322716377530924,1.4,0.4,0.9999999999999999,2.0,1.6,0.3999999999999999,0.5555555555555556,0.5,0.05555555555555558,7.0,7.0,0.0,0.0
1484.2112258291675,1538.791971006288,-54.580745177120434,0.4,0.6,-0.19999999999999996,1.2,2.2,-1.0000000000000002,0.1111111111111111,0.5555555555555556,-0.4444444444444445,7.0,7.0,0.0,0.0
1508.654699210578,1502.4908826741282,6.163816536449758,1.0,-0.2,1.2,2.0,1.6,0.3999999999999999,0.375,0.3333333333333333,0.041666666666666685,8.0,8.0,0.0,0.0
1491.0644835116289,1491.9545252153298,-0.8900417037009447,0.0,0.0,0.0,1.4,1.0,0.3999999999999999,0.2222222222222222,0.3333333333333333,-0.1111111111111111,9.0,9.0,0.0,0.0
1502.66827296487,1481.6898588161696,20.978414148700494,0.4,-1.6,2.0,1.8,0.8,1.0,0.3,0.3,0.0,6.0,7.0,-1.0,0.0
1475.7693889457387,1507.163935503753,-31.394546558014326,0.4,-0.2,0.6000000000000001,1.2,1.2,0.0,0.1,0.5,-0.4,7.0,7.0,0.0,0.0
1547.2338078897167,1501.9289078118798,45.30490007783692,0.8,0.6,0.20000000000000007,2.6,1.6,1.0,0.6,0.4,0.19999999999999996,7.0,5.0,2.0,0.0
1508.477308919836,1509.405364968093,-0.928056048256849,0.8,0.2,0.6000000000000001,1.6,2.0,-0.3999999999999999,0.3333333333333333,0.4,-0.06666666666666671,6.0,7.0,-1.0,0.0
1502.8165734523266,1496.1448660515846,6.67170740074198,1.0,-0.2,1.2,1.4,0.8,0.5999999999999999,0.3,0.4,-0.10000000000000003,7.0,7.0,0.0,0.0
1510.9641206006734,1480.9078065790827,30.05631402159065,1.2,-0.2,1.4,2.2,1.0,1.2000000000000002,0.4,0.2,0.2,7.0,7.0,0.0,0.0
1514.3746223817136,1453.0320645920372,61.34255778967645,-0.4,-2.0,1.6,1.0,0.2,0.8,0.4,0.0,0.4,7.0,7.0,0.0,0.0
